Paper,Reference / DOI,MOF,MOF Family,Metal,Linker,Radiation Type,Particle Type,Source,Radiation Energy,Dose,Dose Rate,Irradiation Environment,XRD Crystallinity Retention*,FTIR Bond Loss?,XPS Used?,Raman Used?,FESEM Used?,TEM Used?,BET Before (m2/g),BET After (m2/g),BET Loss (%),Defect Type*,Stability Score (1-5)*,Stability,XRD - what it found,FTIR - what it found,XPS - what it found,Raman - what it found,FESEM - what it found,TEM - what it found,Main Findings / Degradation Mechanism
"Ma et al. 2022, Langmuir",10.1021/acs.langmuir.2c01074,MIL-100(Fe),MIL,Fe,Trimesate (BTC),Gamma,Photon (gamma),60Co,-,0-5 MGy,"0.65 kGy/h (initial, decay-corrected)",Air,Full,No,No,No,Yes,No,1574,1507,4.3,None detected,5,Excellent,Pattern and fwhm essentially unchanged up to 5 MGy - crystallinity fully retained,"No obvious change in spectrum (1625, 1445, 1382 cm-1 bands intact)",Not used in this study,Not used in this study,"Rod-like particles, inhomogeneous size; no change in shape/size/morphology at any dose to 5 MGy",Not used in this study,"XRD, FTIR and SEM agree: no structural, chemical or morphological damage up to 5 MGy; TGA confirms retained thermal stability; most radiation-tolerant of the four MOFs tested"
"Ma et al. 2022, Langmuir",10.1021/acs.langmuir.2c01074,MIL-100(Cr),MIL,Cr,Trimesate (BTC),Gamma,Photon (gamma),60Co,-,0-5 MGy,0.65 kGy/h,Air,Full,No,No,No,Yes,No,1862,1510,18.9,Minor crystal-size decrease,5,Excellent,fwhm shows only small fluctuation to 5 MGy - crystallinity essentially retained,No obvious changes to 5 MGy,Not used in this study,Not used in this study,Irregular-sphere morphology unchanged; crystal size decreased slightly at 4-5 MGy,Not used in this study,Good chemical/crystallographic retention despite steady ~4%/MGy BET decline; TGA confirms good thermal stability after 5 MGy
"Ma et al. 2022, Langmuir",10.1021/acs.langmuir.2c01074,MIL-101(Cr),MIL,Cr,Terephthalate (BDC),Gamma,Photon (gamma),60Co,-,"0-5 MGy (stable to 4, degrading by 5)",0.65 kGy/h,Air,Partial,Not reported,No,No,Yes,No,2203,1762,20,Framework decomposition onset (5 MGy),4,"Good to 4 MGy, degrades at 5 MGy","fwhm unchanged to 4 MGy; broadens visibly at 5 MGy, signalling decomposition onset",Trend consistent with XRD,Not used in this study,Not used in this study,Morphology/size unaffected up to 4 MGy,Not used in this study,30% micropore-volume loss + lowered TGA decomposition temperature confirm genuine decomposition only between 4 and 5 MGy
"Ma et al. 2022, Langmuir",10.1021/acs.langmuir.2c01074,AlFu (Al-fumarate),Other (Al-fumarate),Al,Fumarate,Gamma,Photon (gamma),60Co,-,Decomposes from 1 MGy; pore structure gone by 2 MGy,0.65 kGy/h,Air,Low,Yes,No,No,No,No,1070,63,94.1,Linker/cluster bond breakage; amorphization,1,Poor - lowest of the four,Crystallinity degenerates from 1 MGy; pore-structure diffraction features gone by 2 MGy,Loses C=C (1600 cm-1) and Al-cluster O-H bending (998 cm-1) bands after 1 MGy,Not used in this study,Not used in this study,Not reported,Not used in this study,"FTIR bond loss + XRD amorphization + 94% BET collapse converge: rapid, early linker radiolysis destroys crystallinity and porosity"
"Hanna et al., OSTI report",OSTI ID 1615770 (DOI not stated),NU-1000,NU,Zr6 node,"H4TBAPy (pyrene-based, 8-connected)",Gamma,Photon (gamma),60Co,-,~9997 Gy (acute) / ~3370 Gy (chronic),423.3 Gy/min (acute); 0.78 Gy/min (chronic),Not specified,Full,Not reported,No,No,Yes,No,2160,2005,7.2,None detected,5,Highly stable at both dose rates,No apparent change at either dose rate - full crystallinity retained,Not used in this study,Not used in this study,Not used in this study,Crystal size/morphology uniform and unchanged under both dose rates,Not used in this study,"Essentially insensitive to dose rate; attributed to high linker connectivity, low node density (0.15 g/cm3) and low node connectivity"
"Hanna et al., OSTI report",OSTI ID 1615770 (DOI not stated),UiO-66,UiO,Zr6 node,"BDC (ditopic, 12-connected)",Gamma,Photon (gamma),60Co,-,~9997 Gy (acute) / ~3370 Gy (chronic),423.3 Gy/min (acute); 0.78 Gy/min (chronic),Not specified,Partial (chronic only),Not reported,No,No,Yes,No,1320,960,27.3,Surface roughening (chronic dose rate only),3,Sensitive to dose rate,Peak at 12 deg loses intensity; first two peaks broaden ONLY after chronic dosing; acute leaves pattern intact,Not used in this study,Not used in this study,Not used in this study,"Uniform under both rates, but visible crystallite-surface roughening after chronic dosing only",Not used in this study,"Dose-RATE sensitive, not just dose-sensitive: same total dose delivered slowly causes far more damage than delivered quickly"
"Volkringer et al. 2016, Chem. Commun.",10.1039/C6CC06878B,ZIF-8,ZIF,Zn,2-methylimidazolate,Gamma,Photon (gamma),Multiple 60Co sources,-,0-1.75 MGy,2-5 kGy/h,Not specified,Low,Yes (via NMR),No,No,No,No,1328,598,55,Amorphization; bond breaking,1,Poor - least stable in survey,Bragg peaks broaden/lose intensity above 1.25 MGy - loss of long-range order,13C/15N NMR used instead: resonances shift/largely disappear by 1.75 MGy,Not used in this study,Not used in this study,Not reported,Not used in this study,XRD broadening + NMR resonance loss + largest BET collapse (55%) identify ZIF-8 as least radiolytically robust MOF tested
"Volkringer et al. 2016, Chem. Commun.",10.1039/C6CC06878B,MIL-53(Al),MIL,Al,Terephthalate (BDC),Gamma,Photon (gamma),60Co,-,Up to 1.75 MGy,2-5 kGy/h,Not specified,Full,No,No,No,No,No,,,NR,None detected,4,Good,No obvious modification of the 'breathing' pore-swelling behaviour at any dose,No major distortion,Not used in this study,Not used in this study,Not used in this study,Not used in this study,"Al-carboxylate MOFs (MIL-53/100/120) outperform ZIF-8/UiO-66/HKUST-1, attributed to strong, hard-Lewis-acid Al(III)-carboxylate bond"
"Volkringer et al. 2016, Chem. Commun.",10.1039/C6CC06878B,MIL-100(Al),MIL,Al,Trimesate (BTC),Gamma,Photon (gamma),60Co,-,Up to 2 MGy,2-5 kGy/h,Not specified,Full,No,No,No,No,No,858,1959,-128.3,Pore-blockage removal (porosity increase),5,Very good - radiation 'self-cleaning',No collapse of diffraction pattern detected up to 2 MGy,No major changes,Not used in this study,Not used in this study,Not used in this study,Not used in this study,"Gamma radiolysis removes extra-framework unreacted linker trapped in pores, raising measured BET rather than lowering it"
"Volkringer et al. 2016, Chem. Commun.",10.1039/C6CC06878B,MIL-120(Al),MIL,Al,Pyromellitate,Gamma,Photon (gamma),60Co,-,Up to 1.75 MGy,2-5 kGy/h,Not specified,Full,No,No,No,No,No,,215,NR,Minor pore-volume loss,4,Good,No significant structural distortion detected,No significant change,Not used in this study,Not used in this study,Not used in this study,Not used in this study,Only 11% pore-volume loss at highest dose tested; one of the more stable Al-MOFs
"Volkringer et al. 2016, Chem. Commun.",10.1039/C6CC06878B,UiO-66,UiO,Zr,BDC,Gamma,Photon (gamma),60Co,-,Up to 1.75 MGy,2-5 kGy/h,Not specified,Partial,Some,No,No,No,No,,,NR,Dose-dependent degradation,3,Moderate,Dose-dependent sensitivity trend similar to (but less severe than) ZIF-8,Some change reported,Not used in this study,Not used in this study,Not used in this study,Not used in this study,"Despite Zr(IV) being a hard Lewis acid, still shows measurable dose-dependent degradation"
"Volkringer et al. 2016, Chem. Commun.",10.1039/C6CC06878B,HKUST-1,HKUST,Cu,Trimesate (BTC),Gamma,Photon (gamma),60Co,-,Up to 1.75 MGy,2-5 kGy/h,Not specified,Low,Yes,No,No,No,No,,,NR,Rapid decomposition,1,Poor,Quick decomposition of diffraction pattern at elevated dose,Consistent with XRD,Not used in this study,Not used in this study,Not used in this study,Not used in this study,"Divalent Cu(II), a softer Lewis acid, forms weaker M-carboxylate bonds - fastest decomposition among carboxylate MOFs tested"
"Widmer et al. 2019, PCCP",10.1039/C9CP01463B,ZIF-4,ZIF,Zn,Imidazolate,"X-ray (synchrotron, in situ)",Photon (X-ray),SLS,20 keV,Time-resolved to complete amorphization (minutes),Flux ~1e13 photons/s,Ambient,Low,Not reported,No,No,No,No,,,NR,Amorphization (inhomogeneous nucleation),1,Amorphizes fastest of three ZIFs,Progressive Bragg intensity loss/broadening; non-isokinetic amorphization via inhomogeneous nucleation,Not used in this study,Not used in this study,Not used in this study,Not reported (bulk powder study),Not used in this study,Beam-induced amorphization within minutes-hours; rate accelerates with temperature even below thermal decomposition limit
"Widmer et al. 2019, PCCP",10.1039/C9CP01463B,ZIF-62,ZIF,Zn,Mixed imidazolate/benzimidazolate,"X-ray (synchrotron, in situ)",Photon (X-ray),SLS/DLS,20-29 keV,Time-resolved (14 min at one condition),Similar flux regime,Not specified,Partial,Not reported,No,No,No,No,,,NR,Amorphization,2,Intermediate,Same inhomogeneous-nucleation amorphization at intermediate rate,Not used in this study,Not used in this study,Not used in this study,Not reported,Not used in this study,"Same amorphization mechanism as ZIF-4/zni, kinetics governed by framework density and X-ray energy"
"Widmer et al. 2019, PCCP",10.1039/C9CP01463B,ZIF-zni,ZIF,Zn,Imidazolate (dense phase),"X-ray (synchrotron, in situ)",Photon (X-ray),SLS/DLS,20-29 keV,"Time-resolved (slowest, 81 min at 20 keV)",Similar flux regime,Not specified,Partial-High,Not reported,No,No,No,No,,,NR,Amorphization (slowest),3,Most resistant of three ZIFs,Most resistant of the three to beam-induced amorphization,Not used in this study,Not used in this study,Not used in this study,Not reported,Not used in this study,Denser packing correlates with slower amorphization; beam energy is first-order variable (20 keV faster than 29 keV)
"Elsaidi et al. 2020, Nature Comm.",10.1038/s41467-020-16647-1,SIFSIX-3-Cu,SIFSIX,Cu,Pyrazine + SiF6(2-),Gamma + Beta,Photon (gamma) + Electron (beta),60Co; 1.5 MeV e- accelerator,1.5 MeV (beta),Up to 50 kGy (both),42.35 Gy/min (gamma); 50 kGy/h (beta),Not specified,Full,Not reported,No,No,No,No,,,NR,None detected,5,Best - stable to 50 kGy,Rietveld PXRD pattern essentially unchanged/retained after 50 kGy of either beta or gamma,Not used in this study,Not used in this study,Not used in this study,Not reported,Not used in this study,"Pillared-square-grid topology survives fully intact at 50 kGy, attributed to strong M-N(pyrazine) bond and radiolysis-resistant SiF6 pillar"
"Elsaidi et al. 2020, Nature Comm.",10.1038/s41467-020-16647-1,SIFSIX-3-Zn,SIFSIX,Zn,Pyrazine + SiF6(2-),Gamma,Photon (gamma),60Co,-,Tested to 50 kGy,42.35 Gy/min,Not specified,Partial,Not reported,No,No,No,No,,,NR,Moderate degradation,3,Lower than Cu analogue,More pronounced peak intensity/crystallinity loss than Cu analogue,Not used in this study,Not used in this study,Not used in this study,Not reported,Not used in this study,"Zn-N coordination weaker than Cu-N, giving worse radiation tolerance"
"Elsaidi et al. 2020, Nature Comm.",10.1038/s41467-020-16647-1,SIFSIX-3-Ni,SIFSIX,Ni,Pyrazine + SiF6(2-),Gamma,Photon (gamma),60Co,-,Tested to 50 kGy,42.35 Gy/min,Not specified,Partial,Not reported,No,No,No,No,,,NR,Moderate degradation,3,Moderate,Visible crystallinity degradation by highest dose,Not used in this study,Not used in this study,Not used in this study,Not reported,Not used in this study,Degradation trend similar to Co/Fe analogues; all less stable than Cu
"Elsaidi et al. 2020, Nature Comm.",10.1038/s41467-020-16647-1,SIFSIX-3-Co,SIFSIX,Co,Pyrazine + SiF6(2-),Gamma,Photon (gamma),60Co,-,Tested to 50 kGy,42.35 Gy/min,Not specified,Partial,Not reported,No,No,No,No,,,NR,Moderate degradation,3,Moderate,Visible crystallinity degradation,Not used in this study,Not used in this study,Not used in this study,Not reported,Not used in this study,Comparable PXRD degradation to Ni/Fe analogues
"Elsaidi et al. 2020, Nature Comm.",10.1038/s41467-020-16647-1,SIFSIX-3-Fe,SIFSIX,Fe,Pyrazine + SiF6(2-),Gamma,Photon (gamma),60Co,-,Tested to 50 kGy,42.35 Gy/min,Not specified,Partial,Not reported,No,No,No,No,,,NR,Moderate degradation,3,Moderate,Visible crystallinity degradation,Not used in this study,Not used in this study,Not used in this study,Not reported,Not used in this study,Overall stability order from PXRD: Cu >> Zn approx Ni approx Co approx Fe
"Xu et al. 2024, Nature Comm.",10.1038/s41467-024-55632-w,UiO-66(Hf),UiO,Hf,BDC,Electron beam (in situ TEM),Electron,"TFS Themis ETEM, Gatan K3",300 kV,Up to ~64.7 e-/A^2 (diffraction); ~48 e-/A^2 (HRTEM),Systematically varied (core variable),High vacuum (TEM column),Partial,Not used in this study,No,No,No,Yes,,,NR,Reversible radiolysis; radiolysis-enhanced knock-on displacement,3,Beam-sensitive; two dose-rate-dependent regimes,Electron diffraction shows anisotropic lattice contraction preceding amorphization,Not used in this study,Not used in this study,Not used in this study,Not used in this study,Low-dose HRTEM shows BDC linker rhombi disappearing and transiently REAPPEARING (self-repair) at low dose before permanent loss,"Two nonclassical damage mechanisms: (1) reversible radiolysis at low dose, (2) radiolysis-enhanced knock-on at higher dose (irreversible); damage is spatially heterogeneous"
"Hastings et al. 2022, Chem. Mater.",10.1021/acs.chemmater.2c02170,Ce-UiO-66,UiO,Ce,BDC,Gamma,Photon (gamma),60Co,-,1-3 MGy,60-67 Gy/min,Argon,Low,Not reported,No,Yes,No,No,,,NR,Amorphization (earliest onset),1,Least stable of M-UiO-66 series,Earliest onset of peak broadening/crystallinity loss of the whole M-UiO-66 series,DRIFTS tracked carboxylate/formate-cap groups with dose,Not used in this study,Common ~1005 cm-1 linker-mode reference matched across all M-UiO-66 samples,Not reported,Not used in this study,"XRD/DRIFTS/Raman agree Ce-UiO-66 loses crystallinity fastest, consistent with weakest M-carboxylate bond (Hf>Zr>Th>Ce electronegativity trend)"
"Hastings et al. 2022, Chem. Mater.",10.1021/acs.chemmater.2c02170,Hf-UiO-66,UiO,Hf,BDC,Gamma,Photon (gamma),60Co,-,1-3 MGy,60-67 Gy/min,Argon,High,Not reported,No,Yes,No,No,,,NR,None detected/minimal,5,Best in gamma series,Least peak broadening of the gamma-irradiated series,Most stable DRIFTS signature,Not used in this study,Minimal change vs common reference,Not reported,Not used in this study,"Most gamma-radiation-resistant isostructure tested, consistent with strong, hard-Lewis-acid Hf-O(carboxylate) bond"
"Hastings et al. 2022, Chem. Mater.",10.1021/acs.chemmater.2c02170,Th-UiO-66,UiO,Th,BDC,Gamma + He-ion,Photon (gamma) + Helium ion (alpha surrogate),60Co; 5 MeV He2+ ion beam,5 MeV (He-ion),Gamma to 3 MGy; He-ion to 85 MGy,60-67 Gy/min (gamma); ~20 nA (He-ion),Argon,High (He-ion); Partial (gamma),Not reported,No,Yes,No,No,,,NR,Lattice contraction preceding amorphization,4,High under He-ion; intermediate under gamma,Reflection shifts to higher 2-theta before amorphization; NOT X-ray amorphous even at 25 MGy He-ion,DRIFTS tracked for both series,Not used in this study,Tracked alongside DRIFTS,Not reported,Not used in this study,Gamma (photon) damage far more destructive per absorbed MGy than He-ion (heavy charged particle) damage for this framework
"Hastings et al. 2022, Chem. Mater.",10.1021/acs.chemmater.2c02170,Pu-UiO-66,UiO,Pu,BDC,Gamma + intrinsic self-alpha decay,Photon (gamma) + Alpha (intrinsic),60Co; intrinsic 239Pu decay,-,Total to 31 MGy (incl. self-dose),60-67 Gy/min (ext.); 0.30 MGy/day (self),Argon,Low-Partial,Not reported,No,Yes,No,No,,,NR,Amorphization + self-dose complication,2,Second-lowest of series,"Loss of crystallinity, but must be interpreted alongside self-irradiation ageing",DRIFTS tracked with dose,Not used in this study,Tracked alongside DRIFTS,Not reported,Not used in this study,Intrinsic 239Pu alpha self-dose must be added to external gamma dose for true total absorbed dose - a methodological finding as much as stability finding
"Ghosh et al. 2019, Microsc. Microanal.",10.1017/S1431927619009255,ZIF-8,ZIF,Zn,2-methylimidazolate,Electron beam (TEM diffraction),Electron,FEI Technai G2 F30 (S)TEM,300 kV,Characteristic dose (Dc) for 50% (011) intensity loss,2.91 / 1.14 / 0.34 e-/A^2.s,Vacuum (TEM column),Partial,Not used in this study,No,No,No,Yes,,,NR,Radiolysis-dominated damage,3,Beam-sensitive; radiolysis dominant at 300 kV,Electron diffraction (011) spot intensity decays with dose; Dc and damage cross-sections extracted,Not used in this study,Not used in this study,Not used in this study,Not used in this study,Used to acquire diffraction patterns from individual nanocrystals at three dose rates,Radiolysis dominates over knock-on damage for ZIF-8 at 300 kV; contrasts with MFI zeolite where both mechanisms act simultaneously
"dos Santos et al. 2025, Microsc. Microanal.",10.1093/mam/ozaf048.076,MIL-101(Fe),MIL,Fe,Terephthalate (BDC),Electron beam (in situ STEM/4D-STEM + EELS),Electron,JEOL Grand ARM300F,300 keV,600 s (4D-STEM); 402 s (EELS),Framerate 2-10 ms/frame,Not specified,Not used (ePDF/LSC-RDF used instead),Not used in this study,No (EELS instead),No,No,Yes,,,NR,Linker degradation before node damage; surface wrinkling,3,Rapid then plateaus; organic degrades before metal node,ePDF/LSC-RDF: structural coherence drops rapidly over ~200 s then plateaus,Not used in this study,EELS: C plasmon/pi*-sigma* edges shift early; O-K shifts at 227 s; Fe L-edge unchanged even at 402 s,Not used in this study,Particle surface develops wrinkling/'shriveling' after ~6 min exposure,4D-STEM used to generate polar-image/RDF dataset,Beam damage initially and predominantly attacks the organic BDC linker; Fe-oxo metal node essentially untouched
"dos Santos et al. 2025, Microsc. Microanal.",10.1093/mam/ozaf048.076,MIL-101(Cr),MIL,Cr,Terephthalate (BDC),Electron beam (in situ STEM),Electron,JEOL Grand ARM300F,300 keV,600 s (parallel with Fe analogue),Not stated in Gy,Not specified,Not used (ePDF used),Not used in this study,No,No,No,Yes,,,NR,"Linker-first damage, surface wrinkling",3,Comparable to Fe analogue,"Not used (ePDF used, as for Fe analogue)",Not used in this study,Not used in this study,Not used in this study,Comparable progressive surface wrinkling to Fe analogue,"Studied in parallel with MIL-101(Fe), same 4D-STEM approach","Behaves similarly to Fe analogue, supporting a linker-first damage mechanism general to the MIL-101 topology"
"Volkov et al., Chem. Commun. (SI)",10.1039/D6CC01288D,NpCs-TCPB (Np4Cs2O8 SBU),Other (Actinide-MOF),Np(V)/Cs,H4TCPB (tris(4-carboxyphenyl)benzene),Electron beam,Electron,LINS 3-350 linear accelerator,3 MeV,Radiological stability confirmed >6 MGy,180 Gy/s,Argon (sealed ampoules),Full,Not used in this study,No,No,Yes,No,,,NR,None detected,5,High - retains structure beyond 6 MGy,"pXRD pattern retained across doses (SI Fig. S12), matching simulated pattern to >6 MGy",Not used in this study,Not used in this study,Not used in this study,Used with EDX to confirm morphology and elemental (Np/Cs) distribution; no radiation-induced morphology change,Not used in this study,First bimetallic Np(V)-MOF (Np4Cs2O8 SBU); also thermally stable to 400 C; evaluated for 137Cs/237Np sorption for mixed-waste immobilisation
"KAE@ZIF-8, Pharmaceutics 2025",10.3390/pharmaceutics17111489,ZIF-8 (drug carrier),ZIF,Zn,2-methylimidazolate,"Gamma (applied to mice, not to bulk MOF)","Photon (gamma, biological)",Not detailed as MOF-irradiation source,-,7-9 Gy total-body irradiation (biological),Not applicable,Not applicable,Used pre-irradiation only,Not used in this study,No,No,Yes,No,,,NR,Not applicable (not a MOF-stability study),,N/A - not a MOF radiolytic-stability study,Used only pre-irradiation to confirm successful synthesis/KAE loading,Not used in this study,Not used in this study,Not used in this study,Uniform hexagonal ZIF-8 morphology before drug loading,Not used in this study,ZIF-8 boosts kaempferol solubility 9.2x with ~89% release in 12h; KAE@ZIF-8 improves mouse survival after 7-9 Gy TBI as a radioprotective delivery vehicle - not a test of the framework's own radiation resistance
"Gilson et al. 2020, JACS",10.1021/jacs.0c05272,TOF-16 (Th-binaphthol),Other (Th-organic framework),Th,Functionalized binaphthol (hexameric Th6 SBU),Gamma + He-ion,Photon (gamma) + Helium ion (alpha surrogate),60Co (gamma); 5 MeV He2+ ion beam,5 MeV (He-ion),"Gamma to 4 MGy (no damage); He-ion: onset of loss ~15 MGy, total loss ~25 MGy",Not specified in search snippet,Not specified,Full (gamma to 4 MGy); Low (He-ion beyond 25 MGy),Not reported,No,No,No,No,,,NR,"Amorphization (He-ion only, at very high dose)",5,Record-setting gamma resistance at time of publication (2020),No apparent bulk structural damage by XRD after 4 MGy gamma (highest reported to date at publication); He-ion shows onset of crystallinity loss ~15 MGy and total loss ~25 MGy,Not detailed in the search snippet - refer to primary source SI for FTIR/Raman/XPS data,Not used in this study,Not used in this study,Not used in this study,Not used in this study,"First He2+ ion (alpha-surrogate) irradiation study of a MOF; demonstrates gamma tolerance is not a reliable predictor of alpha/heavy-ion tolerance for the same framework - MOFs can withstand doses found in nuclear waste streams. Data sourced from abstract/search snippets, not the full extracted PDF text - verify quantitative details against the original JACS article before citing in a thesis."
